field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,left_uwb_thread,right_uwb_thread,dataset_descrision,left_length,right_length,x,y
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0.52,0.256,0.468135118
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.027877,-0.016005,-0.002384,-0.60459,-0.208271,9.742579,1.1,1.1,right,0.74,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.74,0.4,0.323,0.349338203
0.041285,0.013788,0.007724,-0.568701,-0.445137,9.783252,1.1,1.1,right,0.75,0,0,0
-0.017236,-0.011748,-0.016748,-0.53042,-0.509736,9.618164,1.1,1.1,right,0.75,0.37,0.354666667,0.315939279
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.74,0.44,0.295,0.38997159
-0.080014,0.029216,-0.011428,-0.501709,-0.399678,9.599024,1.1,1.1,right,0.75,0,0,0
0.030113,0.045177,0.01464,-0.525635,-0.406855,9.57749,1.1,1.1,right,0.75,0.51,0.252,0.457736152
0.046073,-0.009088,-0.017813,-0.477783,-0.473848,9.563135,1.1,1.1,right,0.75,0.48,0.27675,0.429436583
0.056181,-0.023985,0.002936,-0.425146,-0.440352,9.730616,1.1,1.1,right,0.76,0.44,0.32,0.38954522
0.055649,0.021236,0.006128,-0.367725,-0.251338,9.890918,1.1,1.1,right,0.77,0.41,0.354,0.356428345
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.78,0.4,0.373666667,0.343158012
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.75,0,0,0
0.005108,-0.07559,0.009852,-0.374902,-0.3925,9.426758,1.1,1.1,right,0.75,0,0,0
0.035433,0.004744,-0.030049,-0.403613,-0.347041,9.694727,1.1,1.1,right,0.76,0.31,0.40125,0.24299904
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0.31,0.414,0.238277644
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.78,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
0.093954,-0.07027,0.039645,-0.260059,-0.217842,9.610987,1.1,1.1,right,0.77,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0.29,0.424,0.212152627
0.036497,-0.019197,0.007724,-0.30791,-0.047969,9.675586,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0.28,0.416,0.204841127
0.108851,-0.005896,0.008256,-0.386865,-0.105391,9.634912,1.1,1.1,right,0.75,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
0.023197,0.01964,0.032197,-0.343799,0.157793,9.654053,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0.28,0.416,0.204841127
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.051817,0.019108,0.013576,-0.39165,0.13626,9.749756,1.1,1.1,right,0.75,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.75,0.28,0.403416667,0.210201831
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.027345,0.048369,-0.035369,-0.444287,0.105156,9.70669,1.1,1.1,right,0.75,0,0,0
