%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1682488152053889951,403,1682488152052668094,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180884,0.003724,0.048945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.146045,0.564648,9.460254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488152305141667,404,1682488152303174018,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006384,0.162796,0.197909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.248926,1.174756,9.687549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488152554194804,405,1682488152553033113,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194716,-0.107998,0.01596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.665137,-0.129199,9.555957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488152804819531,406,1682488152803257942,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.458595,-0.133003,-0.181416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.806396,3.423779,9.29038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488153057179913,407,1682488153053282976,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.070758,0.146835,0.055861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.083838,-0.555078,8.572607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488153303936030,408,1682488153302562952,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315483,0.006384,0.139919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.473828,0.904395,9.761719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488153553711106,409,1682488153552581071,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019684,-0.145771,-0.223977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.471436,1.524072,10.027295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488153805505437,410,1682488153803158044,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.225573,0.139919,0.170776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.866211,-0.071777,8.244824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488154053702829,411,1682488154053004026,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124491,0.121831,0.074482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.471533,0.160303,10.218701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488154305874353,412,1682488154303663015,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106934,-0.253238,-0.02128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.067188,1.36377,9.936377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
