x,y,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,,,corrected_x,corrected_y
0,3.572599205,0.08934076,-0.08530288,-0.06693292,-1.187948573,0.199130246,9.772339203,,,-1.507326515,3.451206115
-0.3025,3.554999133,0.12445376,-0.01720588,-0.07012492,-0.001120273,-0.12736501,10.15592173,,,-1.572309215,3.432201655
-0.667333333,3.516131128,-0.19156124,-0.03688988,-0.02703192,-0.417229338,-0.406030515,9.604002986,,,-1.601956377,3.422627916
-0.9075,3.452708773,0.20372376,0.04344412,-0.05363192,-0.213752368,0.047359789,9.623191321,,,-1.639092971,3.413652084
-1.281,3.366967076,-0.13676424,-0.12254388,-0.03767192,-0.572354363,-1.589745544,9.451782501,,,-1.657583125,3.412363449
-1.403,3.319037845,0.25532876,0.04184812,-0.11055792,-0.482914989,0.057283216,9.304608743,,,-1.671398892,3.414067248
-1.3475,3.357633893,-0.12080424,-0.05072188,0.05915408,-1.384157675,-1.985419717,9.747459737,,,-1.689966049,3.413402135
-1.478,3.325343094,0.79319276,0.06898012,-0.09193692,0.887746023,-1.487819682,10.84267928,,,-1.702761822,3.415195108
-1.665,3.243326586,0.52771876,0.17857512,-0.23451592,1.416584041,-1.171367056,10.36399964,,,-1.705081055,3.422827374
-1.738333333,3.233812148,-0.26178724,-0.03848588,0.23950608,-0.264149653,-0.300801111,9.016425173,,,-1.702695556,3.432089348
-1.752333333,3.260430922,0.17978276,0.19240712,-0.03873592,-0.509271076,-2.710807634,9.430262971,,,-1.698997024,3.440744933
-1.827,3.248711264,-0.49268024,-0.36407788,0.19907308,-1.080143222,-0.786387959,9.51079556,,,-1.688920118,3.451400091
-1.771,3.295920501,-0.00748524,-0.05870288,-0.17599492,-0.006204172,-1.120017222,10.03075613,,,-1.681935185,3.460070689
-1.9125,3.252342918,-0.00642124,-0.18159688,-0.10736592,0.462126458,-0.056847437,10.1378678,,,-1.660774105,3.473411141
-1.728,3.368748455,0.18776276,-0.06561888,0.03255408,-0.27762643,-0.78392745,9.461068073,,,-1.654009167,3.478785446
-1.860833333,3.310182183,0.12604976,0.48820612,-0.30686992,-1.163089399,-1.964742763,7.135399219,,,-1.630950617,3.491002247
-1.7325,3.377706048,-0.06334624,0.10409312,0.09320308,0.951941938,-0.020441202,11.79953222,,,-1.618207031,3.498654282
-1.737,3.386663498,-0.16017324,-0.18372488,0.02244508,-1.211568551,0.829459402,9.796477798,,,-1.601214286,3.507104896
-1.4835,3.513615124,-0.00322924,-0.00177688,0.00063308,-0.611333995,0.206870078,9.76774786,,,-1.620803241,3.497229605
-1.4835,3.513615124,0.00102676,-0.00869288,-0.00096292,-0.897217654,0.200174166,9.758162692,,,-1.648213333,3.483180416
-1.487333333,3.522879029,0.00634676,0.01099112,-0.00202692,-0.85360548,0.148282498,9.749514024,,,-1.657119792,3.477036399
-1.546,3.481643951,-0.01120924,0.04929612,-0.00894292,-1.049633195,0.35010644,9.653236706,,,-1.713333333,3.442860971
-1.799,3.349150482,-0.00961324,-0.01773788,0.00010108,-0.708944359,0.421598242,9.792650615,,,-1.796666667,3.394714846
-1.794333333,3.340279176,0.00794276,0.00035112,0.00010108,-0.837353331,0.229589965,9.754305986,,,-1.794333333,3.390279176
