,l,r,x,y,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z
66,0.19915153,0.50223744,0.313977142,0.494815636,-0.04951424,0.10196512,-0.05416392,-0.961213312,0.074154535,9.738901096
67,0.20285885,0.44949228,0.335274084,0.444807673,-0.03355424,0.06525612,-0.00734692,-1.222923334,0.389940486,9.858211979
68,0.21102181,0.5690723,0.280914654,0.556472787,-0.01599724,-0.00230888,0.00063308,-0.964658184,0.223423566,9.75015552
69,0.21103379,0.5742073,0.277982235,0.561093297,-0.01227324,-0.00443688,0.00063308,-0.849273849,0.216032878,9.771293684
70,0.20633596,0.5843182,0.271779778,0.570076603,0.00155876,0.00673512,-0.00096292,-0.890379137,0.253033216,9.766097661
71,0.2456166,0.5308526,0.302892771,0.521895266,-0.02770224,-0.04486988,0.00276108,-1.10120673,0.165694965,9.619666877
72,0.26650763,0.58889306,0.272966382,0.575028257,-0.01759324,0.00513912,-0.00096292,-0.882492545,0.156034368,9.740993175
73,0.21552017,0.57436574,0.278143402,0.561290453,0.00847476,0.00833112,-0.00043092,-0.830329245,0.255996216,9.760811972
74,0.20374966,0.52665097,0.302829559,0.51760907,0.00368676,-0.00337288,-0.00149492,-0.839144713,0.14120945,9.846822233
75,0.21413256,0.5500356,0.291486898,0.539225433,0.04890776,0.03333612,0.00222908,-0.611021743,0.162971681,9.66559232
76,0.6187359,0.54089934,0.335664803,0.53705966,0.22447176,0.19772712,-0.03075592,-0.13412844,0.347197206,9.29139607
77,0.20508592,0.4856429,0.32134069,0.479230361,0.31597776,-0.00071288,0.19854108,-0.183426759,0.175886468,9.853610544
78,0.38571897,0.6001964,0.277309969,0.587522659,-0.02025324,-0.19330188,-0.04884392,-0.239457933,0.627471193,10.20910282
79,0.41208315,0.5667585,0.298315773,0.557562118,-0.05802624,0.13495012,0.00222908,-0.00488407,0.412980669,10.08028322
80,0.2640392,0.6276944,0.248028811,0.609019718,0.01326276,-0.01667388,0.12725208,-0.385412069,-0.839797557,10.29458003
81,0.20398004,0.5098232,0.310763139,0.501952665,0.08934076,-0.08530288,-0.06693292,-1.187948573,0.199130246,9.772339203
82,0.24837644,0.5849061,0.274043564,0.57118309,0.12445376,-0.01720588,-0.07012492,-0.001120273,-0.12736501,10.15592173
83,0.48501945,0.6772063,0.241621524,0.658425874,-0.19156124,-0.03688988,-0.02703192,-0.417229338,-0.406030515,9.604002986
84,0.37855387,0.47789168,0.333762594,0.473279055,0.20372376,0.04344412,-0.05363192,-0.213752368,0.047359789,9.623191321
85,0.47781983,0.57680047,0.300937342,0.568230034,-0.13676424,-0.12254388,-0.03767192,-0.572354363,-1.589745544,9.451782501
86,0.4561073,0.56130254,0.305856549,0.553351201,0.25532876,0.04184812,-0.11055792,-0.482914989,0.057283216,9.304608743
87,0.20086713,0.548383,0.291694124,0.537581391,-0.12080424,-0.05072188,0.05915408,-1.384157675,-1.985419717,9.747459737
88,0.19049175,0.47327822,0.325840175,0.467431914,0.79319276,0.06898012,-0.09193692,0.887746023,-1.487819682,10.84267928
89,0.19909713,0.4760979,0.325015147,0.470155806,0.52771876,0.17857512,-0.23451592,1.416584041,-1.171367056,10.36399964
90,0.28728586,0.49658123,0.320689824,0.490206909,-0.26178724,-0.03848588,0.23950608,-0.264149653,-0.300801111,9.016425173
91,0.3714933,0.6034325,0.273847108,0.590098492,0.17978276,0.19240712,-0.03873592,-0.509271076,-2.710807634,9.430262971
92,0.1971371,0.49582785,0.316709375,0.488782087,-0.49268024,-0.36407788,0.19907308,-1.080143222,-0.786387959,9.51079556
93,0.20361821,0.51173544,0.309872394,0.503736216,-0.00748524,-0.05870288,-0.17599492,-0.006204172,-1.120017222,10.03075613
94,0.22124189,0.5219976,0.305881238,0.513442454,-0.00642124,-0.18159688,-0.10736592,0.462126458,-0.056847437,10.1378678
95,0.35348967,0.7431654,0.164205492,0.704766459,0.18776276,-0.06561888,0.03255408,-0.27762643,-0.78392745,9.461068073
96,0.20097813,0.49533784,0.317071666,0.488346667,0.12604976,0.48820612,-0.30686992,-1.163089399,-1.964742763,7.135399219
97,0.18412475,0.51390135,0.308074726,0.505612838,-0.06334624,0.10409312,0.09320308,0.951941938,-0.020441202,11.79953222
98,0.19404005,0.4972549,0.315969256,0.490103326,-0.16017324,-0.18372488,0.02244508,-1.211568551,0.829459402,9.796477798
99,0.22119209,0.5879511,0.27046981,0.573505384,-0.00322924,-0.00177688,0.00063308,-0.611333995,0.206870078,9.76774786
100,0.20508629,0.57800686,0.275446313,0.564427417,0.00102676,-0.00869288,-0.00096292,-0.897217654,0.200174166,9.758162692
101,0.22401823,1.0001081,-0.236150331,0.771705234,-0.00429324,0.00886312,0.00329308,-0.789233244,-0.041359442,0.096579505
102,0.21832493,0.5856607,0.271672934,0.571428578,0.00634676,0.01099112,-0.00202692,-0.85360548,0.148282498,9.749514024
103,0.19784603,0.4971112,0.316179374,0.489993518,-0.01120924,0.04929612,-0.00894292,-1.049633195,0.35010644,9.653236706
104,0.20836696,0.4930343,0.318356645,0.486227502,-0.00961324,-0.01773788,0.00010108,-0.708944359,0.421598242,9.792650615
105,0.21482755,0.54969305,0.291703579,0.538919599,0.00794276,0.00035112,0.00010108,-0.837353331,0.229589965,9.754305986
